indicator,indicator_code,location,location_code,period,value,value_numeric,value_ci,sex,residence,wealth_quintile
Ever breastfed,NUT_BF_EVBF,Kenya,KEN,2008,97.1,97.1,[96.0-97.9],Wealth - Top 80%,Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2008,25.87619166,25.88,[20.54 - 30.5],Total,Total,Total
"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",NCD_BMI_18A,Kenya,KEN,2021,8.5673898,8.6,[6.4-11.0],Female,Urban,Total
Population using safely managed sanitation services (%),WSH_SANITATION_SAFELY_MANAGED,Kenya,KEN,2009,28.54329,29,,Rural,Total,Total
Tobacco Warning: W1b smoked tobacco packaging health warnings,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,Kenya,KEN,2010,50,50,,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,1994,17.9,17.9,[16.5-19.3],Both sexes,Urban,Total
"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",SDGAIRBODA,Kenya,KEN,2010,15.703,16,[10-23],Both sexes,Rural,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,2015,15.52567,15.5,[13.4-17.8],Male,Total,Total
Financing methods for treatment for drug use disorders,RSUD_280,Kenya,KEN,2014,,Households,,In-patient treatment,Total,Total
Tobacco Raise taxes: Retail price for tobacco and nicotine products,TOBACCO_MPOWER_R_PRICE,Kenya,KEN,2012,1.07,1.07,,Price in US$ at official exchange rates,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2005,7.3,7.3,[6.0-8.8],6 to 23 months,Total,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2014,6172.446,6172,[1275-15 026],Male,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2016,13,13.0,[12.0-14.1],Both sexes,Urban,Total
Poliomyelitis - number of reported cases,WHS3_49,Kenya,KEN,1998,109,109,,,Rural,Total
Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,NCD_UNDER70,Kenya,KEN,2005,64.49518585,64,,Female,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1993,0.69,0.69,,Spirits,Total,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2018,53.107,53,[40-63],Male,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1993,2.3,2.3,[0.1 - 9.4],Rural,Total,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2024,,Yes,,Smokeless tobacco packaging/labelling must not use figurative or other signs for prohibited misleading terms and descriptors,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2008,3.4,3.4,[2.4-4.9],0 to 11 months,Urban,Total
Treatment success rate: previously treated TB cases,TB_c_ret_tsr,Kenya,KEN,2010,79,79,,,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2005,9.4,9.4,[5.9-14.5],Male,Total,Total
"Mean total cholesterol,  crude",NCD_CHOL_MEANTOTALCHOL_C,Kenya,KEN,2007,3.7,3.7,[3.4-4.1],Male,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,1994,2.6,2.6,[2.0-3.3],Wealth - Bottom 60%,Urban,Total
"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",TOBACCO_MPOWER_W2A_CIGARETTES,Kenya,KEN,2010,,No,,Display of expiry dates is prevented on cigarette packaging,Total,Total
"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",NCD_BMI_18C,Kenya,KEN,1999,14.952977,15.0,[11.6-18.6],Both sexes,Total,Total
"Alcohol, former drinkers (%), age-standardized",SA_0000001414,Kenya,KEN,2014,11.5000863,11.5,[10.5 - 12.6],Both sexes,Urban,Total
Healthy life expectancy (HALE) at birth (years),WHOSIS_000002,Kenya,KEN,2021,58.21708276,58.2,[57.6-59.0],Both sexes,Rural,Total
Estimate of current tobacco smoking prevalence (%) (age-standardized rate),M_Est_smk_curr_std,Kenya,KEN,2007,1.8,1.8,[1.3-2.3],Female,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2017,8318.879865,8319,,Both sexes,Total,Total
"Early Initiation of Breastfeeding, Children born in the last 24 months",NUT_BF_EIBF,Kenya,KEN,2008,52.5,52.5,[46.7-58.2],Q5 (Richest),Urban,Total
Number of deaths among children 5 to 14 years of age,CHILDDEATH5TO14,Kenya,KEN,2007,5671,5671,[4801-6669],Female,Total,Total
Neonatal mortality rate (per 1000 live births),WHOSIS_000003,Kenya,KEN,2016,23.36426653,23.4,[20.9-26.3],Both sexes,Total,Total
"Alcohol, former drinkers (%), age-standardized",SA_0000001414,Kenya,KEN,2001,10.7448794,10.7,[9.7 - 11.9],Female,Urban,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2010,0.0041,0,,0-27 days,Rural,Total
Tobacco Raise taxes: Retail price for tobacco and nicotine products,TOBACCO_MPOWER_R_PRICE,Kenya,KEN,2024,,. . .,,Price in US$ at official exchange rates,Total,Total
"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",TOBACCO_MPOWER_W2A_CIGARETTES,Kenya,KEN,2024,,Yes,,Health warnings on cigarette packaging law requires or establishes fines for violations,Total,Total
Mortality rate attributed to unintentional poisoning (per 100 000 population),SDGPOISON,Kenya,KEN,2016,1.20708227,1.2,[0.8-1.7],Female,Urban,Total
Number of indigenous P. falciparum malaria cases,MALARIA_PF_INDIG,Kenya,KEN,2023,5619026,5 619 026,,,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2008,1.5,1.5,[0.3 - 4.6],Urban,Total,Total
Tobacco Warning: W1a cigarette packaging health warnings,TOBACCO_MPOWER_W1A_CIGARETTES,Kenya,KEN,2010,,Yes,,Law mandates that health warnings appear on cigarette packages,Urban,Total
Population using at least basic sanitation services (%),WSH_SANITATION_BASIC,Kenya,KEN,2019,34.12333,34,,Rural,Rural,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,1998,8.4235623,8.4,[5.7-11.7],Male,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2014,31.3,31.3,[28.7-33.9],30 to 35 months,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2000,7.3,7.3,[5.9-9.0],Female,Urban,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,1994,7.6001406,7.6,[4.7-11.2],Female,Total,Total
Number of deaths among children ages 5 to 9 years,CM_04,Kenya,KEN,2017,3041,3041,[2394-3793],Male,Total,Total
"Mean Non-HDL cholesterol, crude",NCD_CHOL_MEANNONHDL_C,Kenya,KEN,1984,2.3,2.3,[2.0-2.7],Male,Urban,Total
Number of children aged 6-59 months with anaemia (thousands),NUTRITION_ANAEMIA_CHILDREN_NUM,Kenya,KEN,2013,1180,1180,[821-1580],Moderate,Rural,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2007,0.029508639,0.03,[0 - 0.3],Rural,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2004,8926.53848,8926.5,,Both sexes,Total,Total
Tobacco Raise taxes:  Reported use of earmarked tobacco taxes,TOBACCO_MPOWER_R_EARMARKED,Kenya,KEN,2024,,A 2% levy on all tobacco products manufcatured or imported into the country. This under the Tobacco Control Regulations of 2014.,,Reported use of earmarked tobacco taxes,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2003,6.4,6.4,[5.4-7.7],Rural,Total,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2015,8.6236157,8.6,[6.5-11.2],Both sexes,Total,Total
